,X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
5309,M,2022-08-04 13:53:31,2022-08-02, OPBK,Op Bancorp,Choi Brian,Dir,P - Purchase,$11.30,"+11,000","1,063,762",+1%,"+$124,297",,,,
5310,,2022-08-04 13:06:37,2022-08-03, FKYS,First Keystone Corp,Bull Robert Alvin,COB,P - Purchase,$23.50,"+2,145","153,357",+1%,"+$50,408",,,,
5311,,2022-08-04 11:36:49,2022-08-03, PRG,"Prog Holdings, Inc.",Doman Curtis Linn,Chief Innovation Officer-PROG,P - Purchase,$19.25,"+50,000","262,880",+23%,"+$962,500",,,,
5312,,2022-08-04 11:32:57,2022-08-03, SEE,Sealed Air Corp/de,Pupkin Sergio A,SVP,P - Purchase,$57.66,"+1,000","47,710",+2%,"+$57,658",,,,
5313,,2022-08-04 11:00:38,2022-08-03, TPL,Texas Pacific Land Corp,Stahl Murray,Dir,P - Purchase,"$1,769.41",+22,"368,301",0%,"+$38,927",,,,
5314,,2022-08-04 10:22:31,2022-08-03, SHBI,Shore Bancshares Inc,Lamon John,Dir,P - Purchase,$19.39,+311,"51,288",+1%,"+$6,029",,,,
5315,,2022-08-04 10:05:05,2022-08-03, GEL,Genesis Energy LP,Davison James E,Dir,P - Purchase,$10.00,"+10,000","3,678,725",0%,"+$100,000",,,,
5316,,2022-08-04 10:00:38,2022-08-03, PQEFF,Petroteq Energy Inc.,Cantone Anthony J,10%,P - Purchase,$0.14,"+250,000","126,393,658",0%,"+$35,875",,,,
5317,,2022-08-04 09:30:11,2022-08-03, CRTD,"Creatd, Inc.",Frommer Jeremy,Exec COB,P - Purchase,$0.69,"+1,165","671,170",0%,+$809,,,,
5318,,2022-08-04 09:25:39,2022-08-03, DGICA,Donegal Group Inc,Donegal Mutual Insurance Co,10%,P - Purchase,$14.44,"+30,973","15,674,392",0%,"+$447,250",,,,
5319,,2022-08-04 08:49:47,2022-08-02, ISBA,Isabella Bank Corp,Maness David J,Dir,P - Purchase,$23.95,+65,"52,837",0%,"+$1,557",,,,
5320,,2022-08-04 08:34:23,2022-08-03, SEE,Sealed Air Corp/de,Doheny Edward L II,"Pres, CEO",P - Purchase,$56.95,"+4,500","517,092",+1%,"+$256,274",,,,
5321,DM,2022-08-17 21:54:56,2022-06-17, GRPN,"Groupon, Inc.",Maple Rock Capital Partners Inc.,10%,P - Purchase,$14.46,"+266,000","2,676,700",+11%,"+$3,845,094",,,,
5322,M,2022-08-17 21:37:51,2022-08-15, GEG,"Great Elm Group, Inc.","Northern Right Capital Management, L.P.","Member of 13D 10% Group, 10%",P - Purchase,$2.02,"+44,054","3,332,960",+1%,"+$89,160",,,,
5323,M,2022-08-17 21:34:29,2022-08-15, GEG,"Great Elm Group, Inc.",Drapkin Matthew A,"Dir, 10%",P - Purchase,$2.02,"+44,054","2,000,255",+2%,"+$89,160",,,,
5324,D,2022-08-17 20:20:57,2022-08-15, OCX,Oncocyte Corp,Kingsley Alfred D,Dir,P - Purchase,$0.97,"+10,000","508,223",+2%,"+$9,700",,,,
5325,D,2022-08-17 20:19:20,2022-08-15, OCX,Oncocyte Corp,Gutfreund John Peter,Dir,P - Purchase,$0.93,"+25,000","35,000",+250%,"+$23,250",,,,
5326,D,2022-08-17 20:18:17,2022-08-16, OCX,Oncocyte Corp,Griffith Melinda,Dir,P - Purchase,$1.00,"+10,000","30,000",+50%,"+$10,000",,,,
5327,D,2022-08-17 20:17:12,2022-08-16, OCX,Oncocyte Corp,Carter Jennifer L.,Dir,P - Purchase,$0.95,"+10,500","30,500",+53%,"+$9,975",,,,
5328,DM,2022-08-17 20:15:36,2022-08-15, OCX,Oncocyte Corp,Arno Andrew,Dir,P - Purchase,$0.96,"+150,000","282,049",+114%,"+$144,121",,,,
5329,,2022-08-17 20:15:35,2022-08-16, NEOG,Neogen Corp,Vetter Darci L,Dir,P - Purchase,$21.83,"+1,100","1,384",+387%,"+$24,013",,,,
5330,,2022-08-17 20:09:28,2022-08-17, JXN,Jackson Financial Inc.,Noles Russell G,Dir,P - Purchase,$33.43,+150,"18,608",+1%,"+$5,015",,,,
5331,,2022-08-17 20:01:34,2022-08-15, CINC,"Cincor Pharma, Inc.","5Am Partners Vi, LLC",10%,P - Purchase,$30.00,"+600,000","4,937,646",+14%,"+$18,000,000",,,,
5332,,2022-08-17 20:01:07,2022-08-17, MRAI,"Marpai, Inc.",Eitan Yaron,Dir,P - Purchase,$0.79,"+31,000","790,816",+4%,"+$24,490",,,,
5333,,2022-08-17 19:38:40,2022-08-17, DINO,Hf Sinclair Corp,Myers Franklin,Dir,P - Purchase,$51.98,"+4,800","99,715",+5%,"+$249,504",,,,
