,X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
54,,2023-01-03 21:23:11,2022-12-30, EYEN,"Eyenovia, Inc.",Rowe Michael M,CEO,P - Purchase,$1.54,"+10,000","15,500",+182%,"+$15,400",,,,
55,,2023-01-03 20:10:50,2022-12-30, PMT,Pennymac Mortgage Investment Trust,Lynch Catherine A.,Dir,P - Purchase,$12.39,"+5,000","10,600",+89%,"+$61,943",,,,
56,M,2023-01-03 20:08:32,2022-12-29, RANI,"Rani Therapeutics Holdings, Inc.",South Cone Investments Limited Partnership,10%,P - Purchase,$5.97,"+17,200","6,714,654",0%,"+$102,761",,,,
57,,2023-01-03 20:06:47,2022-12-30, RANI,"Rani Therapeutics Holdings, Inc.",Quiroga Cortes Isidoro Alfonso,10%,P - Purchase,$6.03,"+8,400","5,271,378",0%,"+$50,617",,,,
58,,2023-01-03 19:18:00,2022-12-30, UTI,Universal Technical Institute Inc,"Coliseum Capital Management, LLC","Dir, 10%",P - Purchase,$6.67,"+90,340","472,079",+24%,"+$602,568",,,,
59,,2023-01-03 19:06:51,2022-12-30, FTK,Flotek Industries Inc/cn/,Gibson John W Jr,"CEO, Pres",P - Purchase,$1.13,"+4,000","871,021",0%,"+$4,520",,,,
60,,2023-01-03 18:24:54,2022-12-29, AQMS,"Aqua Metals, Inc.",Zhang Peifang,Dir,P - Purchase,$0.99,"+10,000","133,095",+8%,"+$9,900",,,,
61,M,2023-01-03 18:00:54,2022-12-29, LSAK,Lesaka Technologies Inc,Value Capital Partners (Pty) Ltd,"Dir, 10%",P - Purchase,$4.48,"+213,438","15,352,908",+1%,"+$955,623",,,,
62,M,2023-01-03 17:37:43,2022-12-29, JYNT,Joint Corp,Bandera Partners LLC,10%,P - Purchase,$13.63,"+100,936","2,570,087",+4%,"+$1,375,362",,,,
63,,2023-01-03 17:21:08,2022-12-30, BRST,"Broad Street Realty, Inc.",Jacoby Michael Z,CEO,P - Purchase,$1.37,"+4,500","2,748,531",0%,"+$6,165",,,,
